股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
300733,西菱动力,,深圳,,5883,3.3,1,,19.6621362253,130.08339993123,18.5717072578,12985,7996,393,591,47.9287375088,1.169042274167,2815,20180116,2815,6572040020.0,305676280.0,7.5315145232,2598,890,,
300735,光弘科技,,深圳,,12380,2.0,1089,,0.1673478993,0.461664016106,11.5664795179,8923,8908,508,604,43.6954758295,1.686321389251,-4276,20171229,-4276,24597115082.45,767460689.0,3.3651477999,4491,1600,,
300736,百邦科技,,深圳,,-8919,-5.09,1,,-22.1669014521,35.344789197414,7.1894089175,-10840,-12999,1857,1202,39.2490095274,-1.438669832991,4002,20180109,4002,1677726010.32,127293324.0,-4.4955164321000005,1495,690,,
300737,科顺股份,,深圳,,3850,0.82,1089,,-6.0642409085,-23.187828547973,24.4320339968,14154,19590,137,193,64.4053186797,1.39268829946,-4675,20180125,-4675,6238022177.58,1109968359.0,2.8465397071000003,679,347,,
300738,奥飞数据,,深圳,,11356,1.53,1089,,40.6174893595,2.469386171974,31.5845606439,18943,18755,688,1036,72.7018774431,0.902513611715,488,20180119,488,23506098077.04,985167564.0,9.7015161761,2887,847,,
300739,明阳电路,,深圳,,12508,0.5,65,,11.8172133828,36.729700953763,22.1122867877,52828,41154,247,662,30.6331395912,1.071800760297,3061,20180201,3061,6013745521.42,347816398.0,2.8335743294,2015,970,,
300740,水羊股份,,深圳,,3764,5.76,1089,,9.0228829403,16.540694270571,64.6135434038,8442,7283,450,1426,48.9329230716,3.377772123862,-1113,20180208,-1113,9282101126.2,390004249.0,4.9439495413,2488,960,,
300741,华宝股份,,深圳,,46700,0.2,1089,,-8.4052914853,-87.950883418701,47.7767461447,-4229,-3179,184,191,6.6775539406,1.781639910372,4311,20180301,4311,12533158000.0,615880000.0,2.9452827063,2256,1399,,
300743,天地数码,,深圳,,2657,9.98,1,,19.5815868758,32.369880907327,33.212639967,3602,3090,561,866,46.1504068227,1.028132542395,5680,20180427,5680,3327290978.0,151240499.0,14.5280158514,2370,1056,,
300745,欣锐科技,,深圳,,-2700,-1.5,65,,12.6712792735,-4858.59190612056,12.8910284771,-3013,-2366,162,1093,47.43591736,-1.668509224426,-4385,20180523,-4385,3682488170.27,167614391.0,-7.262215820200001,2428,1282,,
300746,汉嘉设计,,深圳,,9367,1.36,1,,49.9615224114,294.176690535116,25.6850797747,-892,-908,505,342,70.0797955827,-0.146424073452,-899,20180525,-899,3833036809.44,225738328.0,4.2594543084,2269,645,,
300747,锐科激光,,深圳,,25413,0.52,1089,,-10.7222082029,-73.364676085256,18.8897554251,12821,19646,528,477,37.0216097597,3.104716000854,6809,20180625,6809,17215179925.68,564802491.0,2.5522998916,3368,1323,,
